kerb,indegree,outdegree
7MAwYzMpf1HDXHdm,1,1
9UZzLzOHROqJHwBY,0,9
6GnoSCT9RU5Wqlot,0,10
YFkGL0N6kk88823o,0,1
r0RFDruayovt2Rse,4,1
2n3jERRGxACRq1Oc,0,1
sUfe822HpF8SPWmJ,0,10
ioorPH5quYaXLRV5,1,1
7kz6cKX0Sd8vHrqR,3,1
jyLmr3JQZeBBlVRz,0,1
vkursX7TGq0MXtv4,2,7
E4hVWh1QunaOTXWi,1,1
WoTiHdLqSutlfYoR,0,1
bnob4QXcqNFazuDV,0,1
5U6UsizQx2LZbcmq,0,1
cSulg5mPzt04HXiA,0,8
75u8CGItmXgcFrWM,2,2
NKDu5AkW80mdK7e6,1,9
h4zkeX7ON7ytfijk,2,2
d48qsMVaapjTXvVv,3,7
Jmfd8aNjljiP1ceR,4,1
CD8RZSJ73kuHH9Iw,2,2
wpijJQdGGbLXJadn,1,5
qL5cz4BZRCsNv7Jg,1,2
lE9b0fIRK807MZo7,1,3
NGOvibbFdJWASN5v,3,1
GOhAspUvs5FsnXDx,1,1
P85S58u8uDueqS5Z,1,1
8m5lSmXqu31Kc9wj,2,3
oY63o5hBRIoMiRjX,0,1
JaUgrZ3OnWji54uw,0,1
FDPXqqupc6aCdwrj,1,4
UDnliz34FmJsf17X,1,1
vOVDIk3Z4JHKWdtW,1,4
d65HSWZrW8Q9YINC,2,1
RUkY3WGAxOBgGP1t,2,1
Ll6WGUJJhgEB7tZL,1,1
Hsjie0cXB3BVhEKe,1,1
WLJ5W6kNCg3YYIDy,0,3
LiFIv6OHGxyGmFRi,1,5
gADbIbWdQWE5Av1i,1,1
xxZo7NZnC2Bw4F2J,1,9
5ULwlsxS9PgWIgzf,1,1
O2QIsOyWIFCstmj0,1,1
9t70R17fw257rW04,1,5
bIP9u860K1PROXpF,1,6
3Y2BhglfxXC5NonU,1,2
bPunIohXg5FJFKOO,3,7
7PzD5xUdaEw3EPRt,0,2
FHjvpOz4d0TQCI9o,0,1
nHYhI53bHvfiQFbU,0,2
NfzeFfxgMr66dVQU,0,1
Qz3iZMwqp8jCwb67,1,1
uCZqIfh5BMpfo3v0,0,4
zthicFnWaldqIoUM,1,5
6CBUT6e84Knz8KJY,2,8
gAXAu9a8upQyMB4y,0,1
wql9HMH8iCukLXzm,3,4
Qir1KkzQw404Qiq4,0,1
kswHQAstaPeVaJ0S,2,1
nE1XkFX6yF34T0cr,1,1
O8UbuVdE9tQv8m5j,2,10
imIDgE13EmawSOqL,1,3
Jgey7Zh0Ier6w84P,1,1
5Rns1GdNYh821nCV,1,6
zQb2aln4BCCLZOUM,2,2
0mY6VadeeBnLtQge,0,1
HBspo9kxX50mL4jR,2,5
hEeYe0GcFZTZKA2F,0,10
UKK7j5vyDZfeDNkB,0,7
14thQqP4TSl016RT,1,4
hsGOfUp0auWDMIgp,1,1
g8Ad1gJTpfRsjfff,0,1
UnINIz4XBLfPCXE0,3,1
Ej1BoAAzVYMBxnAv,1,1
YDxOljkyqo46xKJz,1,1
q79cErvHgGc17vVP,2,3
7SQUTppjsUNvHpwf,0,2
dS40ukn3cthdnP12,1,7
NRxfJN67yKTbzCmd,0,2
iBz1gcpDR1GNNE9a,0,6
W7xi1woRNaRKIyY8,0,1
G7mWYeqsSFe9Laxk,2,1
lbcX43tyOR8tnBtY,1,1
afpbi9GZohyB0L6h,0,1
A7Qs1A4zATeRBwDZ,1,3
rzeYmyB0hrIhl8LJ,0,1
JiGy26gbvNreAk3t,2,1
fypw4LIM9NGSpQfH,1,2
Z469nNT5b6wkHp5N,1,1
5XNYCXfpcNikJcct,0,1
JLKBR39pu0OUipuE,0,2
ikkYaD3z6oGhUehV,1,1
2fXz21cxZjiosLb6,4,8
WszrxZcpg8oX51lE,2,5
AY22WUNu04auRHsz,0,1
Q3JHakOPq6eQoKTB,1,5
8qHKdBWvU7iaKcGp,1,1
V49PQbGckv3yR6Da,1,1
lw6IyN39A8WcqvNm,0,2
qEyITOiPTaX9DF8B,0,1
4UEVRFOdp012DCNH,2,1
ugh6HgZUHDXiCfIz,0,2
WluR9NMqmncCAhpn,2,4
HEdGw2HIcuAstwGA,0,1
g7uq3JClagVpdQAI,2,1
RfYWuFWH7FtgPP7S,0,2
sdDXzrn5NNhwW6xZ,0,3
zkf52pPJhuxlEhSw,0,1
IKJ7c94bSn05ZbGe,1,5
JtdJIKCLnCoqu18d,0,1
KzubSFMHDqypRtXa,2,1
EUQf0UDX5N7g0Z5v,1,9
R83x5hlggjJE2gc5,0,4
PF8v3omzpkyz8DRG,1,4
3Z4xEBdlwB3fg93D,1,5
6NS3rEq7cooVXODO,1,1
6yLTDGXpz5RfSlAj,0,2
0lkta4nP7gilqinb,0,1
xO4w27vD0QFFRIwp,2,1
Ri5AokTcGq5BEN1b,1,1
nQnS6uOq9eHw7I1f,1,1
rRqnm30xB3elpQk9,1,1
gTogrAbF3usSQfTW,0,3
PTWAqSD5I4ygwKmK,0,1
CPVX0QI8Mobgr5cN,0,5
ekhcwl7GYDDfV9EJ,1,1
L4csMMlEaBdxCk4m,1,1
bmj0LSs9tw5dy0Dw,2,1
4n86xs89idyqwC2u,1,1
HUqNMIWQhAAiNS37,3,6
fjPOVs3l63rumXoG,2,2
toYb0NpwBcx91D2z,3,10
bIGfXeOCSAAJx5iM,2,8
Xdli8DLi2qD4pqxa,2,1
iJt5PXwPieCBlBf8,0,10
PIjpvNt5otj9j1Ma,1,1
Yw8jIefgqzTnhlde,2,1
WeS8KCGHlyvV72rU,2,3
6C2wCzmwY93QwVDG,0,3
ew2KBAbobGJuqRvk,4,2
X75chWU23nKygLqA,0,1
JbDRdlV3hRYF3enZ,2,2
K62xVaCNeVuXGT64,1,1
tDVphiNvVBBnxdAs,0,1
CFRjzZGqYIYhzSsw,1,1
DANRQBNG8eootAvZ,1,4
vHlgEccXAxr1Ifbi,0,2
cBtnG1cEv5gX7iG7,1,1
7uPOs2FhnUkjWRKW,1,2
IOly7cEZgiaKb2oF,0,3
WlkdZea9uSrZDScT,1,1
jWF1GtlgFtNfEnFx,4,2
sDScvP1HhNux9Z7g,1,1
yjksWlkAUPZOoSB8,1,1
cfSRZCPELC0pRMz6,1,1
eKU4Du9eB4Vd9818,0,1
u3ozF5nw3hfqUjGN,2,10
9AFstobbwfmzWdtf,0,1
0zXti6CmKFzX2jtU,1,1
Ag2eOwChkwVpUKzH,1,1
roiJFoCJaZk08wQ0,5,4
SUBgzOBXBN7Izof7,5,4
LVPPdPLAT7hJYsWE,1,2
HYMK3Vb46sM9JvIY,0,1
noamXe1Pt21iumtn,2,1
AfGDcMBUuZwxcup9,2,1
tQRm2Z3iztWtzAZs,0,1
0K6GomEEmLnKEPxw,0,2
GKHrBs1rAJNZUoNn,0,3
l9olaQC71klclUBN,0,1
9HMWOlMQ8XRMcX7j,1,4
fNgEhPI9RTFzzhBR,0,4
ujukK7iOW8YkT2Q8,1,1
jmJmuVWdZbzYP4vI,0,2
9xQ4H50NFry4yN1a,0,1
IxxftJvqMt1IqRBa,1,1
ZirBJLJtN8yWGMZY,0,1
9GCWTwQNDosUNFJM,2,1
L3tklYxpmor3Jt1s,0,10
Llsjy4VeEWOnVw14,0,1
wxnWK9Cfufnr49Fn,1,4
sbTNDegYCGSVp5ZH,1,2
PkDJSKhyc9fvXc82,0,1
qtLDk0jwvnPN2igZ,0,1
AxiZNmt2qz3hdWza,1,1
tTzA0TuowZDizXSE,1,1
vQP6E2gLSq3N7xvH,1,8
g8qzRjq5qW2X1egy,0,1
xZIMcNou3r6wB57Y,1,1
GDvu1JWMeGvSuRbC,1,1
0NmwxlggzaVZPBXQ,1,10
dh8qfJ0Gw6vMZucC,2,1
hvo8cyiTsoRKIvhM,0,1
GBsSuIFxpYCrdNCz,3,7
FLZ5AoIfwEWitxwO,2,4
VhTeVBfgUEIZ7uDE,2,2
hcZqQga53px06nSj,0,1
